fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	part_name_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	pdf	typesetter	text	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l136-01_etudes_cinq	1: 4/4, 6: 2/4, 7: 6/16, 11: 4/4, 17: 6/16, 21: 3/8, 27: 12/16, 97: 2/4	1: 0, 48: -7, 56: 0, 75: -4, 90: 0, 111: -5, 113: 0	116	116	317.0	116	116	317.0		682.37	2067	1354	0	0	0	1915	1915	Claude Debussy	Étude no.1: pour les cinq doigts								2021-08-13		Microsoft Windows	http://musescore.com/user/36526887/scores/6959034		Étude no.1: pour les cinq doigts	D'après Monsieur Czerny	C. DEBUSSY		3.6.2	1.1.1	MS3	MS3/l136-01_etudes_cinq.mscx	False	24-95 (C1-B6)	https://imslp.org/wiki/Special:ReverseLookup/246285	https://musescore.com/user/36526887		Piano	31-95 (G1-B6)	Piano	24-84 (C1-C6)		
l136-02_etudes_tierces	1: 4/4	1: -5, 9: 0, 14: -5, 31: 4, 35: -5, 42: 0, 49: -5, 57: 0, 63: -5	80	76	304.0	80	76	304.0		1271.42	3336	1159	0	0	0	1915	1915										2022-02-16		Microsoft Windows			Pour les Tierces				3.6.2	1.1.1	MS3	MS3/l136-02_etudes_tierces.mscx	False	26-94 (D1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com		Piano	45-94 (Bbb2-Bb6)	Piano	26-92 (D1-Ab6)		
l136-03_etudes_quartes	1: 6/8, 7: 3/4, 13: 6/8, 19: 3/8, 20: 6/8, 22: 3/8, 23: 6/8, 25: 3/4	1: -1, 29: -6, 46: 3, 49: 0, 65: -1	85	85	252.0	85	85	252.0		969.83	1586	677	0	0	0												2022-02-28		Microsoft Windows			Pour les Quartes				3.6.2	1.1.1	MS3	MS3/l136-03_etudes_quartes.mscx	False	29-92 (F1-Ab6)				Piano	36-92 (C2-Ab6)	Piano	29-82 (F1-Bb5)		
l136-04_etudes_sixtes	1: 3/4, 18: 4/4, 19: 3/4, 42: 4/4, 43: 3/4, 56: 2/4, 57: 3/4	1: -5, 21: -1, 27: -6, 30: -3, 32: 1, 33: -6, 38: -1, 46: -5	59	59	179.0	59	59	179.0		680.08	1734	614	0	0	0				Pour les Sixtes								2022-03-02		Microsoft Windows			Pour les Sixtes				3.6.2	1.1.1	MS3	MS3/l136-04_etudes_sixtes.mscx	False	25-94 (Db1-Bb6)				Piano	48-94 (C3-Bb6)	Piano	25-77 (Db1-F5)		
l136-05_etudes_octaves	1: 3/8	1: 4, 11: 0, 13: 4, 15: 0, 21: 4, 23: -3, 29: 0, 33: -3, 49: -5, 59: 4, 68: -5, 83: 4, 93: -4, 95: 0, 109: 4, 115: 0, 119: 4	121	121	181.5	121	121	181.5		595.83	2046	831	0	0	0	1915	1915		Pour les Octaves								2022-03-02		Microsoft Windows			Pour les Octaves				3.6.2	1.1.1	MS3	MS3/l136-05_etudes_octaves.mscx	False	24-95 (C1-B6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com		Piano	29-95 (F1-B6)	Piano	24-79 (C1-G5)		
l136-06_etudes_huit	1: 3/4, 2: 2/4, 4: 3/4, 5: 2/4, 43: 3/4, 44: 2/4, 46: 3/4, 47: 2/4, 55: 3/4, 61: 2/4	1: -6, 13: -3, 29: 0, 33: -6	69	68	146.0	69	68	146.0		175.25	1389	1206	0	0	0												2022-02-16		Microsoft Windows			Pour les huit doigts				3.6.2	1.1.1	MS3	MS3/l136-06_etudes_huit.mscx	False	30-90 (Gb1-Gb6)				Piano	37-90 (Db2-Gb6)	Piano	30-89 (Gb1-F6)		
l136-07_etudes_degres	1: 2/4	1: 0	88	88	176.0	88	88	176.0		567.5	1953	1301	0	0	0	1915	1915										2022-02-18		Microsoft Windows			Pour les degrés chromatiques				3.6.2	1.1.1	MS3	MS3/l136-07_etudes_degres.mscx	False	27-94 (Eb1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com		Piano	46-94 (Bb2-Bb6)	Piano	27-88 (Eb1-E6)		
l136-08_etudes_agrements	1: 6/8, 8: 2/4, 10: 6/8, 28: 3/8, 29: 6/8, 42: 5/8, 44: 6/8, 47: 3/8, 48: 6/8, 56: 2/4, 58: 6/8	1: -1, 10: -6, 12: -1, 13: 0, 20: 3, 27: 0, 32: 3, 35: 0, 40: 5, 43: -4, 46: 4, 49: -1	62	52	151.0	62	54	151.0		496.27	2135	1144	0	0	0				Pour les agréments								2022-03-05		Microsoft Windows			Pour les agréments				3.6.2	1.1.1	MS3	MS3/l136-08_etudes_agrements.mscx	False	28-95 (E1-B6)				Piano	36-95 (C2-B6)	Piano	28-86 (E1-D6)		
l136-09_etudes_notes	1: 4/4	1: 1, 28: 0, 50: 1, 59: 4, 63: 0, 67: 1	85	84	336.0	85	84	336.0		734.62	2026	1262	0	0	0	1915	1915										2022-02-20		Microsoft Windows			Pour les notes répétées				3.6.2	1.1.1	MS3	MS3/l136-09_etudes_notes.mscx	False	27-94 (Eb1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com		Piano	29-94 (F1-Bb6)	Piano	27-86 (Eb1-D6)		
l136-10_etudes_sonorites	1: 9/8, 15: 3/4, 38: 9/8, 59: 3/4	1: 4, 7: 0, 15: 4, 38: 7, 59: 4	75	75	277.5	75	75	277.5		1555.62	1149	440	0	0	0	1915	1915										2022-02-22		Microsoft Windows			Pour les sonorités opposées				3.6.2	1.1.1	MS3	MS3/l136-10_etudes_sonorites.mscx	False	25-97 (C#1-C#7)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com		Piano	44-97 (G#2-C#7)	Piano	25-82 (C#1-A#5)	Piano	29-87 (F1-D#6)
l136-11_etudes_arpeges	1: 3/4	1: -4, 25: 4, 27: -4, 31: 4, 33: -4, 34: 4, 38: -3, 39: 5, 46: -4	67	67	201.0	67	67	201.0		479.4	1973	1338	0	0	0	1915	1915	Claude Debussy	12 Etudes (Livre II)	11	"Pour les arpèges composés
"	 L.136				Oli 2020	2019-09-30	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6368039				"	Debussy, Claude"	Nr 11; Nr 11, CD 143 ; L.136 	3.6.2	1.1.1	MS3	MS3/l136-11_etudes_arpeges.mscx	False	26-97 (D1-C#7)	https://imslp.org/wiki/Special:ReverseLookup/246286	https://musescore.com/user/4887176	"12 Etudes (Livre II); A la mémoire de Frédéric Chopin; Pour les arpèges composés
"	Grand Piano	27-97 (Eb1-C#7)	Grand Piano	26-90 (D1-F#6)		
l136-12_etudes_accords	1: 3/8, 81: 6/8, 86: 3/8, 87: 6/8, 106: 3/8	1: 0, 81: 6, 95: -3, 96: 6, 106: 0	182	181	308.0	182	181	308.0		1541.5	2865	590	0	0	0												2022-02-14		Microsoft Windows							3.6.2	1.1.1	MS3	MS3/l136-12_etudes_accords.mscx	False	23-97 (B0-C#7)				Piano	26-97 (D1-C#7)	Piano	23-77 (B0-F5)		
